date,symbol,open,high,low,close,volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_diff,rsi,bollinger_mavg,bollinger_high,bollinger_low,volume_ema,volume_ratio,daily_return,5d_return,10d_return,volatility,momentum_5d,momentum_10d,price_change_rate,high_low_diff
2024-03-26,ADBL,172,129,103,125,7032,149.2,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,0.04800000000000004,-0.07199999999999995,0.552,0.25897544178429566,-9.0,69.0,-0.27325581395348836,0.2524271844660194
2024-03-27,ADBL,199,196,178,131,3537,149.2,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,0.04800000000000004,-0.07199999999999995,0.552,0.25897544178429566,-9.0,69.0,-0.3417085427135678,0.10112359550561797
2024-03-28,ADBL,175,206,148,180,9376,149.2,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,0.3740458015267176,-0.07199999999999995,0.552,0.25897544178429566,-9.0,69.0,0.02857142857142857,0.3918918918918919
2024-03-29,ADBL,189,110,170,195,8817,149.2,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,0.08333333333333326,-0.07199999999999995,0.552,0.25897544178429566,-9.0,69.0,0.031746031746031744,-0.35294117647058826
2024-04-01,ADBL,110,154,111,115,1699,149.2,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,-0.41025641025641024,-0.07199999999999995,0.552,0.25897544178429566,-9.0,69.0,0.045454545454545456,0.38738738738738737
2024-04-02,ADBL,172,131,101,116,8251,147.4,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,0.008695652173912993,-0.07199999999999995,0.552,0.25897544178429566,-9.0,69.0,-0.32558139534883723,0.297029702970297
2024-04-03,ADBL,100,119,137,197,1388,160.6,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,0.6982758620689655,0.5038167938931297,0.552,0.25897544178429566,66.0,69.0,0.97,-0.13138686131386862
2024-04-04,ADBL,158,139,123,119,1016,148.4,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,-0.3959390862944162,-0.3388888888888889,0.552,0.25897544178429566,-61.0,69.0,-0.2468354430379747,0.13008130081300814
2024-04-05,ADBL,108,146,169,144,6513,138.2,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,0.2100840336134453,-0.2615384615384615,0.552,0.25897544178429566,-51.0,69.0,0.3333333333333333,-0.13609467455621302
2024-04-08,ADBL,189,172,147,143,5943,143.8,161.4,157.28,156.58182422915294,153.9034455594604,0.08874707446523189,0.6194698659091129,-3.518124912487454,58.2045361697623,161.4,218.13940429719014,104.66059570280986,5339.724747305526,0.5863598121944266,-0.00694444444444442,0.24347826086956514,0.552,0.25897544178429566,28.0,69.0,-0.24338624338624337,0.17006802721088435
