date,symbol,open,high,low,close,volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_diff,rsi,bollinger_mavg,bollinger_high,bollinger_low,volume_ema,volume_ratio,daily_return,5d_return,10d_return,volatility,momentum_5d,momentum_10d,price_change_rate,high_low_diff
2024-03-26,NEPSE,103,134,133,115,1680,128.0,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.05217391304347818,0.7652173913043478,-0.017391304347826098,0.3543528999383666,88.0,-2.0,0.11650485436893204,0.007518796992481203
2024-03-27,NEPSE,196,136,142,121,3183,128.0,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.05217391304347818,0.7652173913043478,-0.017391304347826098,0.3543528999383666,88.0,-2.0,-0.3826530612244898,-0.04225352112676056
2024-03-28,NEPSE,149,130,115,147,8209,128.0,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.2148760330578512,0.7652173913043478,-0.017391304347826098,0.3543528999383666,88.0,-2.0,-0.013422818791946308,0.13043478260869565
2024-03-29,NEPSE,137,151,163,109,3329,128.0,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,-0.25850340136054417,0.7652173913043478,-0.017391304347826098,0.3543528999383666,88.0,-2.0,-0.20437956204379562,-0.0736196319018405
2024-04-01,NEPSE,188,167,171,148,5724,128.0,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.35779816513761475,0.7652173913043478,-0.017391304347826098,0.3543528999383666,88.0,-2.0,-0.2127659574468085,-0.023391812865497075
2024-04-02,NEPSE,135,134,96,203,10997,145.6,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.3716216216216217,0.7652173913043478,-0.017391304347826098,0.3543528999383666,88.0,-2.0,0.5037037037037037,0.3958333333333333
2024-04-03,NEPSE,185,137,173,130,1436,147.4,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,-0.35960591133004927,0.07438016528925617,-0.017391304347826098,0.3543528999383666,9.0,-2.0,-0.2972972972972973,-0.20809248554913296
2024-04-04,NEPSE,197,110,131,195,1470,157.0,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.5,0.3265306122448979,-0.017391304347826098,0.3543528999383666,48.0,-2.0,-0.01015228426395939,-0.16030534351145037
2024-04-05,NEPSE,177,162,167,128,5804,160.8,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,-0.3435897435897436,0.17431192660550465,-0.017391304347826098,0.3543528999383666,19.0,-2.0,-0.2768361581920904,-0.029940119760479042
2024-04-08,NEPSE,120,115,107,188,8091,168.8,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.46875,0.2702702702702702,-0.017391304347826098,0.3543528999383666,40.0,-2.0,0.5666666666666667,0.07476635514018691
2024-04-09,NEPSE,152,180,180,113,7484,150.8,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,-0.39893617021276595,-0.4433497536945813,-0.017391304347826098,0.3543528999383666,-90.0,-2.0,-0.2565789473684211,0.0
2024-04-10,NEPSE,170,134,126,152,9293,155.2,144.85,149.52,144.56615805383765,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.34513274336283195,0.1692307692307693,0.25619834710743805,0.3543528999383666,22.0,31.0,-0.10588235294117647,0.06349206349206349
2024-04-11,NEPSE,124,151,157,166,10193,149.4,144.85,149.52,147.8636721994011,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.09210526315789469,-0.14871794871794874,0.12925170068027203,0.3543528999383666,-29.0,19.0,0.3387096774193548,-0.03821656050955414
2024-04-12,NEPSE,113,138,177,107,8227,145.2,144.85,149.52,141.57695339949322,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.513793666197984,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,-0.35542168674698793,-0.1640625,-0.01834862385321101,0.3543528999383666,-21.0,-2.0,-0.05309734513274336,-0.22033898305084745
2024-04-15,NEPSE,184,131,107,106,3698,128.8,144.85,149.52,136.10357595341733,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.395996909444946,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,-0.009345794392523366,-0.43617021276595747,-0.28378378378378377,0.3543528999383666,-82.0,-42.0,-0.42391304347826086,0.22429906542056074
2024-04-16,NEPSE,186,128,107,162,3770,138.6,144.85,149.52,140.08764119135313,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,53.49821360093752,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.5283018867924529,0.4336283185840708,-0.20197044334975367,0.3543528999383666,49.0,-41.0,-0.12903225806451613,0.19626168224299065
2024-04-17,NEPSE,147,156,163,179,7523,144.0,144.85,149.52,146.07415793114495,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,55.428831348667536,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.1049382716049383,0.17763157894736836,0.3769230769230769,0.3543528999383666,27.0,49.0,0.21768707482993196,-0.04294478527607362
2024-04-18,NEPSE,120,170,178,125,1516,135.8,144.85,149.52,142.8319797878919,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,48.53568717720587,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,-0.3016759776536313,-0.24698795180722888,-0.3589743589743589,0.3543528999383666,-41.0,-70.0,0.041666666666666664,-0.0449438202247191
2024-04-19,NEPSE,126,127,171,197,1288,153.8,144.85,149.52,151.16552135898544,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,56.333205015503744,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,0.5760000000000001,0.8411214953271029,0.5390625,0.3543528999383666,90.0,69.0,0.5634920634920635,-0.2573099415204678
2024-04-22,NEPSE,199,120,132,106,6406,153.8,144.85,149.52,144.21697961144923,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,46.70202518975107,144.85,210.5166582064292,79.18334179357076,4855.932351672907,1.3192111290004034,-0.46192893401015234,0.0,-0.43617021276595747,0.3543528999383666,0.0,-82.0,-0.46733668341708545,-0.09090909090909091
2024-04-23,NEPSE,188,147,118,125,10492,146.4,145.35,149.52,141.26052120968782,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,48.67508461274495,145.35,210.24768871076998,80.45231128923002,5392.700699132631,1.9455928643856588,0.179245283018868,-0.22839506172839508,0.10619469026548667,0.3543528999383666,-37.0,12.0,-0.3351063829787234,0.2457627118644068
2024-04-24,NEPSE,102,170,186,136,9027,137.8,146.1,149.52,140.45121025435122,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,49.83298574811162,146.1,210.1964897634808,82.00351023651919,5738.8244420723795,1.5729702295510906,0.08800000000000008,-0.24022346368715086,-0.10526315789473684,0.3543746870718722,-43.0,-16.0,0.3333333333333333,-0.08602150537634409
2024-04-25,NEPSE,106,208,143,124,5448,137.6,144.95,149.52,137.92025483060488,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,48.546299634131564,144.95,209.7619587730536,80.13804122694638,5711.126876160724,0.9539273278520456,-0.08823529411764708,-0.008000000000000007,-0.2530120481927711,0.35419411586033117,-1.0,-42.0,0.16981132075471697,0.45454545454545453
2024-04-26,NEPSE,157,189,143,162,1168,130.6,147.6,149.52,141.62483101051183,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,52.7102871269843,147.6,210.62507437520404,84.57492562479595,5278.44812605018,0.22127715800325673,0.30645161290322576,-0.17766497461928932,0.514018691588785,0.3506604856641913,-35.0,55.0,0.03184713375796178,0.32167832167832167
2024-04-29,NEPSE,121,125,149,166,2264,142.6,148.5,149.52,145.37485700889462,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,53.14017436215682,148.5,212.03424273570906,84.96575726429094,4991.357828331115,0.45358399014181267,0.024691358024691468,0.5660377358490567,0.5660377358490567,0.344629382888583,60.0,60.0,0.371900826446281,-0.1610738255033557
2024-04-30,NEPSE,131,127,140,127,10103,143.0,144.7,149.52,142.54795593060314,139.66625478091356,2.881701149689576,3.794269411706076,2.921612485441521,48.5098919661839,144.7,203.66812698399025,85.73187301600973,5478.180892299581,1.8442253365896166,-0.2349397590361446,0.016000000000000014,-0.21604938271604934,0.3427549342689004,2.0,-35.0,-0.030534351145038167,-0.09285714285714286
2024-05-01,NEPSE,197,203,160,158,4723,147.4,146.1,149.52,144.92519347974113,141.02430998232737,3.9008834974137585,3.794269411706076,2.921612485441521,52.08384036038769,146.1,204.9350235828966,87.26497641710338,5406.258902556763,0.8736170585108989,0.2440944881889764,0.16176470588235303,-0.11731843575418999,0.3327983838407036,22.0,-21.0,-0.19796954314720813,0.26875
2024-05-02,NEPSE,136,195,116,107,9025,144.0,141.7,149.52,139.0905483290117,138.5039907243772,0.5865576046345211,3.794269411706076,2.921612485441521,46.380221946946506,141.7,198.37133314119228,85.0286668588077,5750.900911837071,1.5693193359363669,-0.32278481012658233,-0.13709677419354838,-0.14400000000000002,0.3267585613467323,-17.0,-18.0,-0.21323529411764705,0.6810344827586207
2024-05-03,NEPSE,159,159,174,193,3324,150.2,144.95,149.52,147.38431012454836,142.54073215220112,4.843577972347248,3.794269411706076,2.921612485441521,55.27458411490421,144.95,205.4329728105357,84.46702718946429,5519.767491662112,0.6021992783248697,0.8037383177570094,0.191358024691358,-0.02030456852791873,0.35837315209738196,31.0,-4.0,0.2138364779874214,-0.08620689655172414
2024-05-06,NEPSE,158,160,188,136,3864,144.2,142.35,149.52,145.63287779769476,142.0562334742603,3.576644323434465,3.794269411706076,2.921612485441521,49.42292124912698,142.35,199.59080712219213,85.10919287780787,5362.075349599054,0.7206165053777038,-0.2953367875647669,-0.1807228915662651,0.28301886792452824,0.3553983404741244,-30.0,30.0,-0.13924050632911392,-0.14893617021276595
2024-05-07,NEPSE,140,156,116,137,9899,146.2,143.55,149.52,144.30474275189556,141.68169766135213,2.623045090543428,3.794269411706076,2.921612485441521,49.52388130772224,143.55,199.26525823327037,87.83474176672965,5794.163411542001,1.7084433587567007,0.007352941176470562,0.07874015748031504,0.09600000000000009,0.34020272912831506,10.0,12.0,-0.02142857142857143,0.3448275862068966
