date,symbol,open,high,low,close,volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_diff,rsi,bollinger_mavg,bollinger_high,bollinger_low,volume_ema,volume_ratio,daily_return,5d_return,10d_return,volatility,momentum_5d,momentum_10d,price_change_rate,high_low_diff
2024-03-26,NTC,177,202,148,114,4997,139.6,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.07894736842105265,0.6140350877192982,0.5526315789473684,0.2792709354982948,70.0,63.0,-0.3559322033898305,0.36486486486486486
2024-03-27,NTC,101,155,92,105,6205,139.6,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.07894736842105265,0.6140350877192982,0.5526315789473684,0.2792709354982948,70.0,63.0,0.039603960396039604,0.6847826086956522
2024-03-28,NTC,106,168,119,110,7719,139.6,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,0.04761904761904767,0.6140350877192982,0.5526315789473684,0.2792709354982948,70.0,63.0,0.03773584905660377,0.4117647058823529
2024-03-29,NTC,107,141,111,191,6695,139.6,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,0.7363636363636363,0.6140350877192982,0.5526315789473684,0.2792709354982948,70.0,63.0,0.7850467289719626,0.2702702702702703
2024-04-01,NTC,170,138,104,178,10564,139.6,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.0680628272251309,0.6140350877192982,0.5526315789473684,0.2792709354982948,70.0,63.0,0.047058823529411764,0.3269230769230769
2024-04-02,NTC,161,189,108,184,3844,153.6,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,0.03370786516853941,0.6140350877192982,0.5526315789473684,0.2792709354982948,70.0,63.0,0.14285714285714285,0.75
2024-04-03,NTC,177,178,163,119,5476,156.4,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.3532608695652174,0.1333333333333333,0.5526315789473684,0.2792709354982948,14.0,63.0,-0.327683615819209,0.09202453987730061
2024-04-04,NTC,163,204,147,190,4918,172.4,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,0.596638655462185,0.7272727272727273,0.5526315789473684,0.2792709354982948,80.0,63.0,0.1656441717791411,0.3877551020408163
2024-04-05,NTC,128,141,152,148,8163,163.8,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.2210526315789474,-0.22513089005235598,0.5526315789473684,0.2792709354982948,-43.0,63.0,0.15625,-0.07236842105263158
2024-04-08,NTC,152,158,134,143,5785,156.8,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.03378378378378377,-0.1966292134831461,0.5526315789473684,0.2792709354982948,-35.0,63.0,-0.05921052631578947,0.1791044776119403
2024-04-09,NTC,130,169,127,177,5460,155.4,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,0.2377622377622377,-0.03804347826086951,0.5526315789473684,0.2792709354982948,-7.0,63.0,0.36153846153846153,0.33070866141732286
2024-04-10,NTC,128,207,94,133,10044,158.2,150.05,154.56,147.5409554462183,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.24858757062146897,0.11764705882352944,0.2666666666666666,0.2792709354982948,14.0,28.0,0.0390625,1.202127659574468
2024-04-11,NTC,132,110,105,144,1850,149.0,150.05,154.56,146.99619306987702,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,0.08270676691729317,-0.2421052631578947,0.3090909090909091,0.2792709354982948,-46.0,34.0,0.09090909090909091,0.047619047619047616
2024-04-12,NTC,117,146,134,160,4281,151.4,150.05,154.56,148.99677875143442,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,54.44650911512146,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,0.11111111111111116,0.08108108108108114,-0.16230366492146597,0.2792709354982948,12.0,-31.0,0.36752136752136755,0.08955223880597014
2024-04-15,NTC,130,186,179,156,1480,154.0,150.05,154.56,150.0741974050599,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,53.56843756578121,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.025000000000000022,0.09090909090909083,-0.1235955056179775,0.2792709354982948,13.0,-22.0,0.2,0.03910614525139665
2024-04-16,NTC,198,150,102,166,9659,151.8,150.05,154.56,152.52432088120452,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,55.500579017939295,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,0.0641025641025641,-0.062146892655367214,-0.09782608695652173,0.2792709354982948,-11.0,-18.0,-0.16161616161616163,0.47058823529411764
2024-04-17,NTC,184,179,161,154,5195,156.0,150.05,154.56,152.75134843794228,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,52.66827020117463,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.07228915662650603,0.1578947368421053,0.2941176470588236,0.2792709354982948,21.0,35.0,-0.16304347826086957,0.11180124223602485
2024-04-18,NTC,146,166,108,128,5576,152.8,150.05,154.56,148.94344867825885,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,47.064119404282394,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,-0.16883116883116878,-0.11111111111111116,-0.3263157894736842,0.2792709354982948,-16.0,-62.0,-0.1232876712328767,0.5370370370370371
2024-04-19,NTC,188,206,187,171,9948,155.0,150.05,154.56,152.33676426621903,147.26141973676013,4.235243472706628,5.326432108323861,1.5475354863032003,55.49787968209696,150.05,202.85710179511844,97.24289820488158,5861.252956335113,0.6885899704495273,0.3359375,0.06875000000000009,0.15540540540540548,0.2792709354982948,11.0,23.0,-0.09042553191489362,0.10160427807486631
