date,symbol,open,high,low,close,volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_diff,rsi,bollinger_mavg,bollinger_high,bollinger_low,volume_ema,volume_ratio,daily_return,5d_return,10d_return,volatility,momentum_5d,momentum_10d,price_change_rate,high_low_diff
2024-03-26,PCBL,191,199,141,170,10730,164.0,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.01764705882352946,0.05294117647058827,-0.12352941176470589,0.19067976232403364,9.0,-21.0,-0.1099476439790576,0.41134751773049644
2024-03-27,PCBL,154,175,170,167,5970,164.0,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.01764705882352946,0.05294117647058827,-0.12352941176470589,0.19067976232403364,9.0,-21.0,0.08441558441558442,0.029411764705882353
2024-03-28,PCBL,187,173,113,161,10393,164.0,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.0359281437125748,0.05294117647058827,-0.12352941176470589,0.19067976232403364,9.0,-21.0,-0.13903743315508021,0.5309734513274337
2024-03-29,PCBL,141,135,152,160,4995,164.0,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.006211180124223614,0.05294117647058827,-0.12352941176470589,0.19067976232403364,9.0,-21.0,0.1347517730496454,-0.1118421052631579
2024-04-01,PCBL,142,118,186,162,1274,164.0,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.012499999999999956,0.05294117647058827,-0.12352941176470589,0.19067976232403364,9.0,-21.0,0.14084507042253522,-0.3655913978494624
2024-04-02,PCBL,183,196,121,179,8710,165.8,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.1049382716049383,0.05294117647058827,-0.12352941176470589,0.19067976232403364,9.0,-21.0,-0.02185792349726776,0.6198347107438017
2024-04-03,PCBL,165,175,136,183,7488,169.0,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.022346368715083775,0.09580838323353302,-0.12352941176470589,0.19067976232403364,16.0,-21.0,0.10909090909090909,0.2867647058823529
2024-04-04,PCBL,151,124,125,175,1230,171.8,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.04371584699453557,0.08695652173913038,-0.12352941176470589,0.19067976232403364,14.0,-21.0,0.15894039735099338,-0.008
2024-04-05,PCBL,102,185,131,105,4570,160.8,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.4,-0.34375,-0.12352941176470589,0.19067976232403364,-55.0,-21.0,0.029411764705882353,0.4122137404580153
2024-04-08,PCBL,189,146,119,119,2815,152.2,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.1333333333333333,-0.26543209876543206,-0.12352941176470589,0.19067976232403364,-43.0,-21.0,-0.37037037037037035,0.226890756302521
2024-04-09,PCBL,117,163,146,149,1667,146.2,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.25210084033613445,-0.16759776536312854,-0.12352941176470589,0.19067976232403364,-30.0,-21.0,0.27350427350427353,0.11643835616438356
2024-04-10,PCBL,182,201,189,146,5451,138.8,157.6,152.82,152.48685366918784,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.020134228187919434,-0.20218579234972678,-0.12574850299401197,0.19067976232403364,-37.0,-21.0,-0.1978021978021978,0.06349206349206349
2024-04-11,PCBL,153,135,165,111,4011,126.0,157.6,152.82,146.10426079700508,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.23972602739726023,-0.36571428571428577,-0.31055900621118016,0.19067976232403364,-64.0,-50.0,-0.27450980392156865,-0.18181818181818182
2024-04-12,PCBL,118,137,142,142,6059,133.4,157.6,152.82,145.4728360590043,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.713149140413556,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.2792792792792793,0.35238095238095246,-0.11250000000000004,0.19067976232403364,37.0,-18.0,0.2033898305084746,-0.035211267605633804
2024-04-15,PCBL,119,184,131,166,4410,142.8,157.6,152.82,148.63086128069594,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,52.83610355700613,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.16901408450704225,0.39495798319327724,0.024691358024691468,0.19067976232403364,47.0,4.0,0.3949579831932773,0.40458015267175573
2024-04-16,PCBL,144,183,127,150,8389,143.0,157.6,152.82,148.8414980067427,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,48.2873509191613,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.09638554216867468,0.006711409395973256,-0.16201117318435754,0.19067976232403364,1.0,-29.0,0.041666666666666664,0.4409448818897638
2024-04-17,PCBL,182,200,106,185,2971,150.8,157.6,152.82,154.40434446724382,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,57.006883593059264,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.2333333333333334,0.26712328767123283,0.010928961748633892,0.19067976232403364,39.0,2.0,0.016483516483516484,0.8867924528301887
2024-04-18,PCBL,130,161,165,156,4115,159.8,157.6,152.82,154.64982993382168,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,49.5515317444021,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,-0.1567567567567567,0.4054054054054055,-0.10857142857142854,0.19067976232403364,45.0,-19.0,0.2,-0.024242424242424242
2024-04-19,PCBL,158,127,93,175,6308,166.4,157.6,152.82,157.78062532861836,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,53.81337397631788,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.1217948717948718,0.232394366197183,0.6666666666666667,0.19067976232403364,33.0,70.0,0.10759493670886076,0.3655913978494624
2024-04-22,PCBL,126,132,114,191,4837,171.4,157.6,152.82,162.89129835498477,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,57.10005238013612,157.6,204.21501903893207,110.98498096106792,5805.018654302529,0.8332445230671122,0.09142857142857141,0.1506024096385543,0.6050420168067228,0.19067976232403364,25.0,72.0,0.5158730158730159,0.15789473684210525
2024-04-23,PCBL,112,120,180,115,9119,164.4,154.85,152.82,155.52340630037173,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,41.86174848514522,154.85,204.59846731307408,105.1015326869259,6120.635925321337,1.4898778674735906,-0.39790575916230364,-0.23333333333333328,-0.22818791946308725,0.19067976232403364,-35.0,-34.0,0.026785714285714284,-0.3333333333333333
2024-04-24,PCBL,134,177,152,119,8091,151.2,152.45,152.82,149.90442071569916,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,42.728058061678524,152.45,204.21282449789618,100.6871755021038,6308.289646719305,1.282598050044803,0.034782608695652195,-0.3567567567567568,-0.18493150684931503,0.1907806627433475,-66.0,-27.0,-0.11194029850746269,0.16447368421052633
2024-04-25,PCBL,176,207,141,176,3017,155.2,153.2,152.82,153.9191252209762,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,53.38707301027633,153.2,205.86345981798007,100.53654018201992,5994.833489888894,0.5032666887393258,0.47899159663865554,0.1282051282051282,0.5855855855855856,0.2180586468213453,20.0,65.0,0.0,0.46808510638297873
2024-04-26,PCBL,149,166,179,130,1753,146.2,151.7,152.82,150.23925980236447,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.95403325340228,151.7,205.2055137345676,98.19448626543239,5590.849347994714,0.3135480659354117,-0.26136363636363635,-0.2571428571428571,-0.08450704225352113,0.22746654626433188,-45.0,-12.0,-0.12751677852348994,-0.07262569832402235
2024-04-29,PCBL,127,147,186,147,2686,137.4,150.95,152.82,149.74091214046226,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,48.79160766644556,150.95,204.27719756371977,97.6228024362802,5314.197029138075,0.5054385423183397,0.13076923076923075,-0.23036649214659688,-0.11445783132530118,0.22890647066849254,-44.0,-19.0,0.15748031496062992,-0.20967741935483872
2024-04-30,PCBL,127,143,142,126,1461,139.6,148.3,152.82,146.0884641188527,151.93093177868556,-5.842467659832863,-1.4598579147215291,3.292317220917444,45.606214445813876,148.3,201.0526302661773,95.54736973382273,4947.225883505877,0.2953170189521758,-0.1428571428571429,0.09565217391304337,-0.16000000000000003,0.2308677264774705,11.0,-24.0,-0.007874015748031496,0.007042253521126761
2024-05-01,PCBL,164,160,111,146,7396,145.0,146.45,152.82,146.07485425441382,151.49160349878292,-5.4167492443691,-1.4598579147215291,3.292317220917444,49.01982983907357,146.45,196.74304126815161,96.15695873184835,5180.442466029127,1.4276772782439808,0.15873015873015883,0.2268907563025211,-0.21081081081081077,0.2332714261514602,27.0,-39.0,-0.10975609756097561,0.44144144144144143
2024-05-02,PCBL,177,188,137,112,6899,132.2,143.3,152.82,140.832568984504,148.56629953591013,-7.733730551406126,-1.4598579147215291,3.292317220917444,43.96813661932779,143.3,193.93635057940102,92.663649420599,5344.114612121592,1.2909528520124918,-0.23287671232876717,-0.36363636363636365,-0.28205128205128205,0.2395795990955855,-64.0,-44.0,-0.3672316384180791,0.3722627737226277
2024-05-03,PCBL,185,133,127,163,9876,138.8,146.2,152.82,144.242942986888,149.63546253325012,-5.392519546362109,-1.4598579147215291,3.292317220917444,51.964672145919494,146.2,194.31070566932067,98.08929433067931,5775.722744300488,1.7099158732551154,0.4553571428571428,0.25384615384615383,-0.06857142857142862,0.23948882967094492,33.0,-12.0,-0.11891891891891893,0.047244094488188976
2024-05-06,PCBL,132,178,189,112,8756,131.8,145.85,152.82,139.2824902196745,146.8476504937501,-7.565160274075623,-1.4598579147215291,3.292317220917444,45.04206367963106,145.85,194.8409175255986,96.85908247440139,6059.558673414726,1.4449897215147776,-0.31288343558282206,-0.23809523809523814,-0.4136125654450262,0.25174359550444836,-35.0,-79.0,-0.15151515151515152,-0.0582010582010582
2024-05-07,PCBL,113,187,156,199,9554,146.4,148.35,152.82,148.46979941664765,150.71078749421306,-2.2409880775654187,-1.4598579147215291,3.292317220917444,55.84766647465987,148.35,202.55433561994838,94.14566438005161,6392.3626092799905,1.4945960647054288,0.7767857142857142,0.5793650793650793,0.7304347826086957,0.2992639418246401,73.0,84.0,0.7610619469026548,0.1987179487179487
2024-05-08,PCBL,119,176,103,191,9474,155.4,150.6,152.82,155.01290719870184,153.69517360575284,1.317733592948997,-1.4598579147215291,3.292317220917444,54.781059479087766,150.6,207.87617305651628,93.3238269434837,6685.851884586658,1.417022118279504,-0.04020100502512558,0.3082191780821917,0.6050420168067228,0.2995571930456551,45.0,72.0,0.6050420168067226,0.7087378640776699
2024-05-09,PCBL,106,205,121,204,9270,173.8,155.25,152.82,162.54938301428618,157.42145704236376,5.127925971922423,-1.4598579147215291,3.292317220917444,56.24350589632985,155.25,213.9930846993925,96.50691530060749,6931.9612289117385,1.3372838788158246,0.0680628272251309,0.8214285714285714,0.15909090909090917,0.2915553930845334,92.0,28.0,0.9245283018867925,0.6942148760330579
2024-05-10,PCBL,118,117,158,126,3735,166.4,154.45,152.82,156.9264010120883,155.09394170589238,1.832459306195915,-1.4598579147215291,3.292317220917444,46.52162325855359,154.45,214.31810503097623,94.58189496902375,6627.488730920144,0.5635618786607038,-0.38235294117647056,-0.22699386503067487,-0.03076923076923077,0.30359126473198966,-37.0,-4.0,0.06779661016949153,-0.25949367088607594
2024-05-13,PCBL,135,116,125,126,1660,169.2,152.45,152.82,152.1684931640747,152.9388349128633,-0.77034174878861,-1.3219546815349454,0.5516129327463355,46.52162325855359,152.45,213.30548455151762,91.59451544848235,6154.394566070607,0.26972596283501843,0.0,0.125,-0.1428571428571429,0.30200608141059804,14.0,-21.0,-0.06666666666666667,-0.072
2024-05-14,PCBL,130,177,155,166,1869,162.6,153.25,152.82,154.2964172926786,153.9063286230216,0.39008866965698985,-0.9795460112965585,1.3696346809535482,51.50693561230662,153.25,214.3756901801526,92.12430981984741,5746.261750254359,0.32525493637968517,0.31746031746031744,-0.16582914572864327,0.31746031746031744,0.30728747101708254,-33.0,40.0,0.27692307692307694,0.14193548387096774
2024-05-15,PCBL,193,188,172,124,7346,149.2,150.2,152.82,149.63543001688188,151.6910450213163,-2.0556150044344292,-1.1947598099241328,-0.8608551945102965,46.59525792163916,150.2,210.76929915394433,89.63070084605565,5898.617774039658,1.2453765070743184,-0.2530120481927711,-0.3507853403141361,-0.15068493150684936,0.3109883459000745,-67.0,-22.0,-0.35751295336787564,0.09302325581395349
2024-05-16,PCBL,189,115,188,133,3224,135.0,149.05,152.82,147.07613309120774,150.30652316788547,-3.230390076677736,-1.6018858632748536,-1.6285042134028824,47.7451799839705,149.05,210.00728012305015,88.09271987694987,5643.892271750167,0.5712369841177425,0.07258064516129026,-0.3480392156862745,0.1875,0.3082391337152771,-71.0,21.0,-0.2962962962962963,-0.3882978723404255
2024-05-17,PCBL,126,121,151,171,8464,144.0,148.85,152.82,150.7567280002527,151.83937330359765,-1.0826453033449468,-1.4980377512888723,0.4153924479439255,52.40506394994753,148.85,209.49082783076105,88.20917216923894,5912.473960154914,1.4315496452145446,0.2857142857142858,0.3571428571428572,0.04907975460122693,0.3128368184830202,45.0,8.0,0.35714285714285715,-0.1986754966887417
2024-05-20,PCBL,199,155,165,184,1533,155.6,148.5,152.82,155.87107753867537,154.2216419477756,1.6494355908997704,-0.8685430828511438,2.517978673750914,53.9190254820467,148.5,208.23776025262418,88.76223974737582,5495.381202044922,0.2789615394523578,0.07602339181286544,0.46031746031746024,0.6428571428571428,0.31272859212278487,58.0,72.0,-0.07537688442211055,-0.06060606060606061
