date,symbol,open,high,low,close,volume
2024-03-26,ADBL,172,129,103,125,7032
2024-03-27,ADBL,199,196,178,131,3537
2024-03-28,ADBL,175,206,148,180,9376
2024-03-29,ADBL,189,110,170,195,8817
2024-04-01,ADBL,110,154,111,115,1699
2024-04-02,ADBL,172,131,101,116,8251
2024-04-03,ADBL,100,119,137,197,1388
2024-04-04,ADBL,158,139,123,119,1016
2024-04-05,ADBL,108,146,169,144,6513
2024-04-08,ADBL,189,172,147,143,5943
2024-04-09,ADBL,124,144,109,194,7344
2024-04-10,ADBL,188,125,144,194,5973
2024-04-11,ADBL,156,138,181,152,2067
2024-04-12,ADBL,189,169,170,196,5695
2024-04-15,ADBL,195,169,181,171,1299
2024-04-16,ADBL,109,168,182,190,10410
2024-04-17,ADBL,106,126,97,168,9936
2024-04-18,ADBL,121,132,136,164,2984
2024-04-19,ADBL,198,156,146,164,3330
2024-04-22,ADBL,114,122,133,170,3131
2024-04-23,ADBL,118,145,104,160,2385
2024-04-24,ADBL,175,128,108,170,6105
2024-04-25,ADBL,187,182,187,156,2668
2024-04-26,ADBL,177,126,114,170,1603
2024-04-29,ADBL,163,129,176,120,9616
2024-04-30,ADBL,132,206,143,128,10115
2024-05-01,ADBL,143,112,101,132,2614
2024-05-02,ADBL,114,147,148,155,6744
2024-05-03,ADBL,165,110,155,186,3651
2024-05-06,ADBL,171,154,131,198,2758
2024-05-07,ADBL,162,137,116,186,10941
2024-05-08,ADBL,171,209,147,122,9184
2024-05-09,ADBL,130,148,166,123,10847
2024-05-10,ADBL,198,147,133,127,5089
2024-05-13,ADBL,164,121,106,184,3285
2024-05-14,ADBL,166,166,135,162,7799
2024-05-15,ADBL,118,196,139,204,3416
2024-05-16,ADBL,166,160,169,172,2214
2024-05-17,ADBL,139,119,143,130,7345
2024-05-20,ADBL,101,157,125,129,10274
2024-05-21,ADBL,115,112,107,154,1695
2024-05-22,ADBL,100,174,141,157,3741
2024-05-23,ADBL,172,145,129,120,1174
2024-05-24,ADBL,194,182,152,133,4117
2024-05-27,ADBL,150,182,172,122,8459
2024-05-28,ADBL,157,134,183,154,3928
2024-05-29,ADBL,192,195,119,180,9684
2024-05-30,ADBL,179,132,140,199,7645
2024-05-31,ADBL,123,154,92,152,2275
2024-06-03,ADBL,154,151,183,151,2057
2024-06-04,ADBL,168,156,176,197,1924
