date,symbol,open,high,low,close,volume
2024-03-26,NABIL,105,120,162,161,3148
2024-03-27,NABIL,189,184,135,170,5244
2024-03-28,NABIL,142,170,105,126,1449
2024-03-29,NABIL,127,207,107,169,4083
2024-04-01,NABIL,126,179,133,125,10180
2024-04-02,NABIL,195,110,169,176,1759
2024-04-03,NABIL,160,138,136,190,9092
2024-04-04,NABIL,171,153,120,183,9681
2024-04-05,NABIL,101,145,184,142,10289
2024-04-08,NABIL,195,165,163,155,5320
2024-04-09,NABIL,189,139,109,140,4838
2024-04-10,NABIL,150,171,188,202,5264
2024-04-11,NABIL,113,176,110,180,6067
2024-04-12,NABIL,169,140,171,123,10115
2024-04-15,NABIL,110,188,122,184,7300
2024-04-16,NABIL,117,168,178,180,7657
2024-04-17,NABIL,141,147,136,106,5102
2024-04-18,NABIL,169,180,153,166,6781
2024-04-19,NABIL,173,158,115,144,9587
2024-04-22,NABIL,110,191,174,199,1862
2024-04-23,NABIL,147,155,104,178,8807
2024-04-24,NABIL,156,185,149,175,10985
2024-04-25,NABIL,117,143,177,203,1384
2024-04-26,NABIL,149,206,122,189,5143
2024-04-29,NABIL,160,135,96,150,3003
2024-04-30,NABIL,173,164,150,144,10015
2024-05-01,NABIL,136,195,137,131,3879
2024-05-02,NABIL,161,110,91,116,3468
2024-05-03,NABIL,103,168,138,132,7109
2024-05-06,NABIL,143,192,180,110,6202
2024-05-07,NABIL,126,182,134,199,4580
2024-05-08,NABIL,188,163,168,186,1880
2024-05-09,NABIL,167,132,125,160,2800
2024-05-10,NABIL,130,164,151,155,6712
2024-05-13,NABIL,191,133,97,183,2540
2024-05-14,NABIL,127,196,154,155,6574
2024-05-15,NABIL,156,133,132,131,4675
2024-05-16,NABIL,189,141,94,199,3765
2024-05-17,NABIL,120,125,162,195,8460
2024-05-20,NABIL,145,156,94,197,3916
2024-05-21,NABIL,195,176,167,198,6813
2024-05-22,NABIL,118,144,99,134,2393
2024-05-23,NABIL,118,131,156,155,1925
2024-05-24,NABIL,169,157,107,105,8721
2024-05-27,NABIL,131,196,175,178,10888
2024-05-28,NABIL,171,155,186,170,2447
2024-05-29,NABIL,114,130,113,182,3975
2024-05-30,NABIL,177,190,104,153,10046
2024-05-31,NABIL,176,178,135,153,10870
2024-06-03,NABIL,169,198,135,128,6207
2024-06-04,NABIL,194,119,176,175,7677
2024-06-05,NABIL,136,209,165,139,10319
2024-06-06,NABIL,127,157,90,163,8543
2024-06-07,NABIL,116,155,104,109,5727
2024-06-10,NABIL,175,181,176,194,3149
2024-06-11,NABIL,149,135,158,145,5222
2024-06-12,NABIL,113,171,163,197,8701
2024-06-13,NABIL,159,172,122,178,7954
2024-06-14,NABIL,115,200,162,136,4616
2024-06-17,NABIL,186,143,110,165,10447
2024-06-18,NABIL,100,152,188,124,9984
2024-06-19,NABIL,146,179,187,174,6200
2024-06-20,NABIL,117,180,126,108,9624
2024-06-21,NABIL,134,190,117,154,3371
2024-06-24,NABIL,124,146,171,153,3328
2024-06-25,NABIL,109,132,122,151,1843
2024-06-26,NABIL,108,177,129,175,9190
2024-06-27,NABIL,141,113,173,204,1803
2024-06-28,NABIL,185,118,168,135,10303
2024-07-01,NABIL,154,162,128,190,3739
2024-07-02,NABIL,105,169,130,177,6550
2024-07-03,NABIL,177,152,134,111,1836
2024-07-04,NABIL,173,165,90,153,10279
2024-07-05,NABIL,122,197,157,151,8107
2024-07-08,NABIL,143,167,186,153,7912
2024-07-09,NABIL,152,181,162,196,8161
2024-07-10,NABIL,131,202,109,145,5236
2024-07-11,NABIL,114,163,152,140,6003
2024-07-12,NABIL,192,142,160,132,8221
2024-07-15,NABIL,195,186,152,134,7767
2024-07-16,NABIL,117,207,159,177,10950
2024-07-17,NABIL,127,154,138,125,9929
2024-07-18,NABIL,187,144,150,176,9028
