date,symbol,open,high,low,close,volume
2024-03-26,NEPSE,103,134,133,115,1680
2024-03-27,NEPSE,196,136,142,121,3183
2024-03-28,NEPSE,149,130,115,147,8209
2024-03-29,NEPSE,137,151,163,109,3329
2024-04-01,NEPSE,188,167,171,148,5724
2024-04-02,NEPSE,135,134,96,203,10997
2024-04-03,NEPSE,185,137,173,130,1436
2024-04-04,NEPSE,197,110,131,195,1470
2024-04-05,NEPSE,177,162,167,128,5804
2024-04-08,NEPSE,120,115,107,188,8091
2024-04-09,NEPSE,152,180,180,113,7484
2024-04-10,NEPSE,170,134,126,152,9293
2024-04-11,NEPSE,124,151,157,166,10193
2024-04-12,NEPSE,113,138,177,107,8227
2024-04-15,NEPSE,184,131,107,106,3698
2024-04-16,NEPSE,186,128,107,162,3770
2024-04-17,NEPSE,147,156,163,179,7523
2024-04-18,NEPSE,120,170,178,125,1516
2024-04-19,NEPSE,126,127,171,197,1288
2024-04-22,NEPSE,199,120,132,106,6406
2024-04-23,NEPSE,188,147,118,125,10492
2024-04-24,NEPSE,102,170,186,136,9027
2024-04-25,NEPSE,106,208,143,124,5448
2024-04-26,NEPSE,157,189,143,162,1168
2024-04-29,NEPSE,121,125,149,166,2264
2024-04-30,NEPSE,131,127,140,127,10103
2024-05-01,NEPSE,197,203,160,158,4723
2024-05-02,NEPSE,136,195,116,107,9025
2024-05-03,NEPSE,159,159,174,193,3324
2024-05-06,NEPSE,158,160,188,136,3864
2024-05-07,NEPSE,140,156,116,137,9899
2024-05-08,NEPSE,150,165,97,162,7058
2024-05-09,NEPSE,105,159,157,134,6346
2024-05-10,NEPSE,172,142,181,200,9814
2024-05-13,NEPSE,168,190,106,181,5358
2024-05-14,NEPSE,138,179,174,156,1065
2024-05-15,NEPSE,112,133,144,168,2228
2024-05-16,NEPSE,193,150,126,200,5605
2024-05-17,NEPSE,172,187,148,172,8073
2024-05-20,NEPSE,146,129,106,195,6227
2024-05-21,NEPSE,141,124,116,142,2776
2024-05-22,NEPSE,160,155,179,106,7495
2024-05-23,NEPSE,174,186,175,156,5026
2024-05-24,NEPSE,158,160,116,110,1448
2024-05-27,NEPSE,177,122,154,121,2426
2024-05-28,NEPSE,109,156,154,161,1532
2024-05-29,NEPSE,154,167,142,136,5077
2024-05-30,NEPSE,177,158,168,129,7917
2024-05-31,NEPSE,189,149,106,177,6150
2024-06-03,NEPSE,191,162,180,202,4193
2024-06-04,NEPSE,148,173,162,149,6083
2024-06-05,NEPSE,190,146,188,105,2333
2024-06-06,NEPSE,102,168,107,155,5942
2024-06-07,NEPSE,132,118,175,178,8945
2024-06-10,NEPSE,179,196,149,184,4942
2024-06-11,NEPSE,162,140,181,107,6988
2024-06-12,NEPSE,153,118,169,181,5980
2024-06-13,NEPSE,182,127,130,121,5371
2024-06-14,NEPSE,185,112,118,203,4827
2024-06-17,NEPSE,120,202,165,133,4554
2024-06-18,NEPSE,187,202,135,121,5859
2024-06-19,NEPSE,131,188,157,140,3180
2024-06-20,NEPSE,194,134,173,120,6491
2024-06-21,NEPSE,101,177,146,137,7073
2024-06-24,NEPSE,187,190,91,127,2244
2024-06-25,NEPSE,118,116,174,108,9185
2024-06-26,NEPSE,143,172,103,150,10400
2024-06-27,NEPSE,164,180,124,178,6041
2024-06-28,NEPSE,102,153,181,140,8067
2024-07-01,NEPSE,193,148,128,187,3671
2024-07-02,NEPSE,153,162,128,204,7131
2024-07-03,NEPSE,179,159,111,149,8597
2024-07-04,NEPSE,152,184,169,158,5045
2024-07-05,NEPSE,162,183,119,129,9543
2024-07-08,NEPSE,199,204,155,202,3181
2024-07-09,NEPSE,187,127,174,174,1335
2024-07-10,NEPSE,105,154,168,181,4652
2024-07-11,NEPSE,182,182,124,127,5556
2024-07-12,NEPSE,140,207,112,145,5754
2024-07-15,NEPSE,129,194,182,168,10255
2024-07-16,NEPSE,124,193,135,188,2080
2024-07-17,NEPSE,131,110,143,165,7734
2024-07-18,NEPSE,142,154,129,196,2246
2024-07-19,NEPSE,124,142,144,203,6618
2024-07-22,NEPSE,115,166,121,182,7469
2024-07-23,NEPSE,195,209,91,129,5008
2024-07-24,NEPSE,126,130,152,195,7012
2024-07-25,NEPSE,159,179,175,157,4709
2024-07-26,NEPSE,184,144,123,184,9445
2024-07-29,NEPSE,198,204,177,194,8544
2024-07-30,NEPSE,137,114,98,140,10825
2024-07-31,NEPSE,175,174,170,163,2894
2024-08-01,NEPSE,114,173,162,122,7916
2024-08-02,NEPSE,178,190,140,187,2537
2024-08-05,NEPSE,185,172,159,152,3551
2024-08-06,NEPSE,124,155,91,121,10411
2024-08-07,NEPSE,143,123,105,110,8196
2024-08-08,NEPSE,196,155,140,162,6625
2024-08-09,NEPSE,105,173,164,132,7324
2024-08-12,NEPSE,103,120,143,125,6132
2024-08-13,NEPSE,193,173,169,143,5183
2024-08-14,NEPSE,155,208,144,110,10430
2024-08-15,NEPSE,159,123,140,193,1474
2024-08-16,NEPSE,150,146,119,105,3429
2024-08-19,NEPSE,153,167,121,133,10407
2024-08-20,NEPSE,169,146,113,110,1551
2024-08-21,NEPSE,113,139,107,111,5419
2024-08-22,NEPSE,178,189,146,117,7182
2024-08-23,NEPSE,134,132,103,148,2332
2024-08-26,NEPSE,127,132,126,149,7187
2024-08-27,NEPSE,198,183,119,194,3539
2024-08-28,NEPSE,131,155,110,130,1268
2024-08-29,NEPSE,180,208,127,107,8366
2024-08-30,NEPSE,137,164,174,168,9327
2024-09-02,NEPSE,159,126,137,134,10671
2024-09-03,NEPSE,112,113,93,114,7130
2024-09-04,NEPSE,146,183,120,150,5548
2024-09-05,NEPSE,168,187,178,134,2804
2024-09-06,NEPSE,197,169,118,186,3295
2024-09-09,NEPSE,126,175,175,191,3873
2024-09-10,NEPSE,115,157,91,117,7274
2024-09-11,NEPSE,135,151,102,187,10420
2024-09-12,NEPSE,194,208,181,155,3626
2024-09-13,NEPSE,180,126,126,190,2952
2024-09-16,NEPSE,197,144,101,181,10349
2024-09-17,NEPSE,141,179,125,122,7228
2024-09-18,NEPSE,155,194,134,113,2000
2024-09-19,NEPSE,177,160,111,188,10137
2024-09-20,NEPSE,194,132,169,203,6929
2024-09-23,NEPSE,102,192,110,105,1540
2024-09-24,NEPSE,198,157,156,108,8300
2024-09-25,NEPSE,134,165,119,159,2959
2024-09-26,NEPSE,177,194,112,170,2149
2024-09-27,NEPSE,154,144,137,158,6227
2024-09-30,NEPSE,111,139,154,151,2823
2024-10-01,NEPSE,189,151,140,203,1257
2024-10-02,NEPSE,149,121,180,143,7710
2024-10-03,NEPSE,157,127,96,190,5638
2024-10-04,NEPSE,105,194,159,198,5878
2024-10-07,NEPSE,141,116,137,117,7068
2024-10-08,NEPSE,196,125,184,108,1384
2024-10-09,NEPSE,145,155,131,126,10155
2024-10-10,NEPSE,126,160,149,130,8508
2024-10-11,NEPSE,107,125,157,150,2271
2024-10-14,NEPSE,115,203,183,112,4221
2024-10-15,NEPSE,151,127,99,199,9841
2024-10-16,NEPSE,179,185,177,122,10922
2024-10-17,NEPSE,121,204,108,156,5224
2024-10-18,NEPSE,168,153,106,154,8522
2024-10-21,NEPSE,140,113,90,146,1577
2024-10-22,NEPSE,137,186,101,174,2637
2024-10-23,NEPSE,151,161,137,145,4783
2024-10-24,NEPSE,143,169,96,176,3936
2024-10-25,NEPSE,198,157,128,159,7786
2024-10-28,NEPSE,194,141,105,105,1965
2024-10-29,NEPSE,197,173,181,140,9366
2024-10-30,NEPSE,163,204,111,168,9360
2024-10-31,NEPSE,105,131,90,105,5442
2024-11-01,NEPSE,159,140,92,121,2211
2024-11-04,NEPSE,188,184,162,151,6239
2024-11-05,NEPSE,180,141,187,130,7438
2024-11-06,NEPSE,192,141,98,163,6939
2024-11-07,NEPSE,100,205,114,143,2487
2024-11-08,NEPSE,177,188,97,108,4592
2024-11-11,NEPSE,123,183,108,203,7777
2024-11-12,NEPSE,128,111,170,147,10239
2024-11-13,NEPSE,169,122,174,199,5146
