date,symbol,open,high,low,close,volume
2024-03-26,NICA,159,112,169,106,6556
2024-03-27,NICA,186,194,176,108,9255
2024-03-28,NICA,131,172,137,121,10805
2024-03-29,NICA,135,192,144,110,8969
2024-04-01,NICA,139,182,107,131,3538
2024-04-02,NICA,132,161,155,166,7732
2024-04-03,NICA,132,156,114,143,1459
2024-04-04,NICA,119,132,109,204,5873
2024-04-05,NICA,195,162,90,204,7232
2024-04-08,NICA,143,119,188,146,5267
2024-04-09,NICA,163,174,119,143,8367
2024-04-10,NICA,132,193,110,191,1542
2024-04-11,NICA,159,176,133,181,10532
2024-04-12,NICA,139,113,173,171,2734
2024-04-15,NICA,169,160,167,199,9028
2024-04-16,NICA,163,150,165,145,9855
2024-04-17,NICA,168,129,113,133,9384
2024-04-18,NICA,123,191,142,119,5435
2024-04-19,NICA,133,190,100,194,2660
2024-04-22,NICA,188,135,148,165,2061
2024-04-23,NICA,189,169,98,115,5876
2024-04-24,NICA,158,139,155,115,1459
2024-04-25,NICA,164,188,127,157,2085
2024-04-26,NICA,169,158,171,165,2941
2024-04-29,NICA,192,137,155,140,10297
2024-04-30,NICA,113,199,91,179,1978
2024-05-01,NICA,184,205,182,168,8521
2024-05-02,NICA,173,127,172,192,8030
2024-05-03,NICA,159,113,152,152,7734
2024-05-06,NICA,162,199,188,134,7301
2024-05-07,NICA,181,136,120,153,7837
2024-05-08,NICA,102,192,101,179,9649
2024-05-09,NICA,150,206,158,188,6670
2024-05-10,NICA,153,138,164,147,10183
2024-05-13,NICA,165,111,150,116,5050
2024-05-14,NICA,168,128,146,171,6049
2024-05-15,NICA,124,199,183,111,6232
2024-05-16,NICA,151,163,90,163,3090
2024-05-17,NICA,184,116,149,157,5424
2024-05-20,NICA,198,119,137,150,10499
2024-05-21,NICA,168,125,138,194,3339
2024-05-22,NICA,182,177,167,149,6586
2024-05-23,NICA,159,191,168,165,9714
2024-05-24,NICA,138,199,160,131,8912
2024-05-27,NICA,177,167,149,147,8469
2024-05-28,NICA,100,122,139,197,10694
2024-05-29,NICA,102,172,117,197,6822
2024-05-30,NICA,131,161,156,142,1668
2024-05-31,NICA,182,137,178,165,1423
2024-06-03,NICA,184,174,110,155,1178
2024-06-04,NICA,133,198,117,155,9772
2024-06-05,NICA,158,146,174,183,6613
2024-06-06,NICA,105,171,138,202,8079
2024-06-07,NICA,169,195,127,173,5124
2024-06-10,NICA,141,153,124,204,2194
2024-06-11,NICA,179,144,180,118,5090
2024-06-12,NICA,127,126,183,168,7709
2024-06-13,NICA,109,207,130,140,6340
2024-06-14,NICA,134,157,187,111,4360
2024-06-17,NICA,192,179,93,143,1569
2024-06-18,NICA,150,192,187,114,4347
2024-06-19,NICA,166,131,133,113,1311
2024-06-20,NICA,183,145,93,157,3751
2024-06-21,NICA,160,114,162,106,5148
2024-06-24,NICA,139,172,95,126,9337
2024-06-25,NICA,164,209,155,121,4138
2024-06-26,NICA,142,137,138,168,1511
2024-06-27,NICA,133,151,116,172,4377
2024-06-28,NICA,120,146,136,106,8733
