date,symbol,open,high,low,close,volume
2024-03-26,NICL,190,187,98,139,4910
2024-03-27,NICL,170,154,151,183,5172
2024-03-28,NICL,119,166,148,121,4505
2024-03-29,NICL,145,129,139,117,3672
2024-04-01,NICL,185,127,139,167,4383
2024-04-02,NICL,164,163,176,113,4809
2024-04-03,NICL,125,184,124,118,5581
2024-04-04,NICL,135,206,163,204,8073
2024-04-05,NICL,137,137,180,158,2613
2024-04-08,NICL,117,147,167,141,3321
2024-04-09,NICL,139,153,156,114,4202
2024-04-10,NICL,163,153,132,109,1419
2024-04-11,NICL,196,201,111,116,6257
2024-04-12,NICL,165,184,119,127,10486
2024-04-15,NICL,104,121,154,147,6612
2024-04-16,NICL,145,140,184,200,3981
2024-04-17,NICL,129,178,169,184,5684
2024-04-18,NICL,107,114,137,194,8268
2024-04-19,NICL,127,145,97,118,2149
2024-04-22,NICL,198,182,182,187,9236
2024-04-23,NICL,174,178,165,155,2046
2024-04-24,NICL,179,198,125,156,1410
2024-04-25,NICL,195,153,176,184,4243
2024-04-26,NICL,167,167,174,153,1920
2024-04-29,NICL,110,181,90,120,9708
2024-04-30,NICL,188,141,181,120,2112
2024-05-01,NICL,184,110,109,182,9957
2024-05-02,NICL,149,184,120,115,2609
2024-05-03,NICL,179,150,145,178,6606
2024-05-06,NICL,102,146,179,159,6965
2024-05-07,NICL,170,169,114,172,4442
2024-05-08,NICL,150,133,150,155,6650
2024-05-09,NICL,102,157,129,158,6253
2024-05-10,NICL,164,167,146,141,7005
2024-05-13,NICL,177,189,96,176,7693
2024-05-14,NICL,177,182,180,185,1825
2024-05-15,NICL,127,137,175,125,5192
2024-05-16,NICL,194,122,154,179,2849
2024-05-17,NICL,113,177,134,178,1971
2024-05-20,NICL,115,168,116,189,3702
2024-05-21,NICL,142,118,111,127,4950
2024-05-22,NICL,138,122,91,125,3187
2024-05-23,NICL,137,134,137,138,7121
2024-05-24,NICL,192,193,123,166,9373
2024-05-27,NICL,125,178,122,121,7524
2024-05-28,NICL,119,161,130,185,4655
2024-05-29,NICL,108,149,120,131,5574
2024-05-30,NICL,137,164,131,170,10374
2024-05-31,NICL,180,125,124,169,5499
2024-06-03,NICL,118,138,129,166,6210
2024-06-04,NICL,151,187,137,148,3031
2024-06-05,NICL,132,199,186,197,5068
2024-06-06,NICL,148,159,162,108,2879
2024-06-07,NICL,112,116,180,134,3745
2024-06-10,NICL,119,190,185,184,7838
2024-06-11,NICL,126,132,173,112,9920
2024-06-12,NICL,157,139,113,178,2197
2024-06-13,NICL,177,180,114,111,6090
2024-06-14,NICL,186,110,185,123,9315
2024-06-17,NICL,101,202,109,161,10396
2024-06-18,NICL,195,161,178,139,3608
2024-06-19,NICL,143,197,97,122,5724
2024-06-20,NICL,152,189,120,204,9164
2024-06-21,NICL,193,149,167,105,5319
2024-06-24,NICL,187,134,126,143,5868
2024-06-25,NICL,116,202,176,197,4564
2024-06-26,NICL,126,194,141,144,4145
2024-06-27,NICL,182,167,90,171,7678
2024-06-28,NICL,187,160,173,135,3180
2024-07-01,NICL,199,180,158,160,3547
2024-07-02,NICL,174,188,129,194,4280
2024-07-03,NICL,187,126,145,143,9295
2024-07-04,NICL,190,199,155,144,7561
2024-07-05,NICL,140,198,184,111,3694
2024-07-08,NICL,122,180,189,132,6577
2024-07-09,NICL,198,193,116,193,2399
2024-07-10,NICL,124,129,95,133,2988
2024-07-11,NICL,141,125,177,189,3030
2024-07-12,NICL,156,186,168,110,7189
2024-07-15,NICL,179,195,152,176,9739
2024-07-16,NICL,197,156,100,195,10331
2024-07-17,NICL,109,187,148,185,1668
2024-07-18,NICL,135,204,107,166,1623
2024-07-19,NICL,181,157,106,154,8851
2024-07-22,NICL,118,188,183,109,2519
2024-07-23,NICL,152,180,125,147,1486
2024-07-24,NICL,180,186,103,133,9192
2024-07-25,NICL,108,176,162,179,7070
2024-07-26,NICL,188,153,107,174,8279
2024-07-29,NICL,101,138,168,186,9704
2024-07-30,NICL,132,191,97,186,2840
2024-07-31,NICL,143,184,128,150,8791
2024-08-01,NICL,162,143,172,107,5285
2024-08-02,NICL,145,188,163,199,3622
2024-08-05,NICL,182,163,92,113,4703
2024-08-06,NICL,143,128,100,112,3574
2024-08-07,NICL,159,136,96,158,7964
2024-08-08,NICL,150,172,130,125,2335
2024-08-09,NICL,192,198,179,172,7163
2024-08-12,NICL,177,183,150,123,8867
2024-08-13,NICL,106,178,181,191,6291
2024-08-14,NICL,117,126,130,166,10877
2024-08-15,NICL,143,181,159,128,5516
2024-08-16,NICL,144,145,99,117,8121
2024-08-19,NICL,162,121,138,136,9832
2024-08-20,NICL,142,207,169,163,5152
2024-08-21,NICL,162,114,127,126,3691
2024-08-22,NICL,144,116,120,176,4011
2024-08-23,NICL,101,181,169,180,6711
2024-08-26,NICL,172,133,128,182,7277
2024-08-27,NICL,152,199,150,192,1203
2024-08-28,NICL,123,131,162,170,2083
2024-08-29,NICL,129,185,158,156,7647
2024-08-30,NICL,107,160,185,185,2358
2024-09-02,NICL,138,124,90,119,1396
2024-09-03,NICL,170,143,166,141,6984
2024-09-04,NICL,101,157,90,166,5830
2024-09-05,NICL,188,120,165,193,10314
2024-09-06,NICL,180,132,159,116,5248
2024-09-09,NICL,136,166,118,186,8132
2024-09-10,NICL,164,197,147,168,7028
2024-09-11,NICL,141,183,113,161,7893
2024-09-12,NICL,172,206,119,187,9722
2024-09-13,NICL,153,195,134,196,9014
2024-09-16,NICL,147,178,141,150,6082
2024-09-17,NICL,126,147,152,129,5195
2024-09-18,NICL,133,126,143,194,4402
2024-09-19,NICL,147,191,91,188,6326
2024-09-20,NICL,100,153,169,163,5894
2024-09-23,NICL,120,190,149,143,10354
2024-09-24,NICL,121,198,122,153,2592
2024-09-25,NICL,172,182,184,106,8997
2024-09-26,NICL,124,207,155,135,3947
2024-09-27,NICL,190,176,103,160,8693
2024-09-30,NICL,148,154,90,129,1184
2024-10-01,NICL,151,126,188,113,2848
2024-10-02,NICL,137,209,170,123,9131
2024-10-03,NICL,187,198,116,131,8058
2024-10-04,NICL,189,197,176,165,9127
2024-10-07,NICL,111,196,97,118,3759
2024-10-08,NICL,125,134,184,131,1689
2024-10-09,NICL,124,197,177,199,9042
2024-10-10,NICL,110,169,101,148,4750
2024-10-11,NICL,108,113,163,180,10396
2024-10-14,NICL,141,165,142,155,10931
2024-10-15,NICL,146,133,137,139,5428
2024-10-16,NICL,186,203,141,119,7725
2024-10-17,NICL,130,144,106,140,8310
2024-10-18,NICL,156,136,181,157,3148
2024-10-21,NICL,176,168,125,178,1951
2024-10-22,NICL,197,185,93,187,3273
2024-10-23,NICL,184,180,105,201,9632
2024-10-24,NICL,137,129,103,150,9208
2024-10-25,NICL,142,174,91,117,6504
2024-10-28,NICL,131,187,166,202,7768
2024-10-29,NICL,172,110,112,201,10812
2024-10-30,NICL,164,116,181,150,1331
2024-10-31,NICL,171,201,92,163,7096
2024-11-01,NICL,165,175,110,182,7576
2024-11-04,NICL,169,157,105,139,7646
2024-11-05,NICL,159,208,166,127,5780
2024-11-06,NICL,163,159,185,127,3345
2024-11-07,NICL,131,192,146,111,6922
2024-11-08,NICL,103,168,132,143,1265
2024-11-11,NICL,176,174,114,113,1858
2024-11-12,NICL,120,115,138,173,4245
2024-11-13,NICL,141,121,161,120,1000
2024-11-14,NICL,126,122,135,180,4173
2024-11-15,NICL,111,172,180,127,4378
2024-11-18,NICL,165,198,135,140,9312
2024-11-19,NICL,193,147,105,150,4931
