date,symbol,open,high,low,close,volume
2024-03-26,NTC,177,202,148,114,4997
2024-03-27,NTC,101,155,92,105,6205
2024-03-28,NTC,106,168,119,110,7719
2024-03-29,NTC,107,141,111,191,6695
2024-04-01,NTC,170,138,104,178,10564
2024-04-02,NTC,161,189,108,184,3844
2024-04-03,NTC,177,178,163,119,5476
2024-04-04,NTC,163,204,147,190,4918
2024-04-05,NTC,128,141,152,148,8163
2024-04-08,NTC,152,158,134,143,5785
2024-04-09,NTC,130,169,127,177,5460
2024-04-10,NTC,128,207,94,133,10044
2024-04-11,NTC,132,110,105,144,1850
2024-04-12,NTC,117,146,134,160,4281
2024-04-15,NTC,130,186,179,156,1480
2024-04-16,NTC,198,150,102,166,9659
2024-04-17,NTC,184,179,161,154,5195
2024-04-18,NTC,146,166,108,128,5576
2024-04-19,NTC,188,206,187,171,9948
2024-04-22,NTC,104,134,117,130,4036
2024-04-23,NTC,182,128,95,172,4549
2024-04-24,NTC,106,165,122,161,9024
2024-04-25,NTC,159,203,140,165,2358
2024-04-26,NTC,167,183,154,147,6956
2024-04-29,NTC,181,160,154,155,10734
2024-04-30,NTC,138,202,100,136,8186
2024-05-01,NTC,135,136,104,184,7281
2024-05-02,NTC,192,169,105,187,10709
2024-05-03,NTC,144,206,124,158,7910
2024-05-06,NTC,178,120,93,168,8872
2024-05-07,NTC,108,158,139,124,1561
2024-05-08,NTC,115,141,97,130,10618
2024-05-09,NTC,179,140,97,194,7082
2024-05-10,NTC,168,205,183,188,4865
2024-05-13,NTC,154,140,99,181,9851
2024-05-14,NTC,155,128,150,204,10769
2024-05-15,NTC,112,189,158,130,3581
2024-05-16,NTC,149,193,94,146,10762
2024-05-17,NTC,196,171,130,132,8060
2024-05-20,NTC,179,167,118,152,1749
2024-05-21,NTC,137,205,102,110,4228
2024-05-22,NTC,138,206,170,119,1620
2024-05-23,NTC,139,121,137,149,5355
2024-05-24,NTC,109,174,157,200,4907
2024-05-27,NTC,128,168,103,196,10402
2024-05-28,NTC,197,163,157,190,5849
2024-05-29,NTC,198,199,101,138,2381
2024-05-30,NTC,181,111,179,153,4361
2024-05-31,NTC,121,140,152,106,4209
2024-06-03,NTC,165,125,166,152,2180
2024-06-04,NTC,124,127,157,189,4031
2024-06-05,NTC,174,202,113,129,2638
2024-06-06,NTC,198,123,105,106,5262
2024-06-07,NTC,138,181,92,149,10217
2024-06-10,NTC,134,168,134,201,5103
2024-06-11,NTC,155,141,187,161,6565
2024-06-12,NTC,125,179,149,177,6600
2024-06-13,NTC,173,152,118,191,2998
2024-06-14,NTC,160,129,103,126,8654
2024-06-17,NTC,109,204,163,127,4455
2024-06-18,NTC,137,190,103,149,2957
2024-06-19,NTC,132,173,160,177,5007
2024-06-20,NTC,191,132,99,148,5658
2024-06-21,NTC,122,131,179,162,8233
2024-06-24,NTC,171,145,97,163,8238
2024-06-25,NTC,139,117,122,127,6500
2024-06-26,NTC,191,114,163,140,1989
2024-06-27,NTC,154,157,173,147,2445
2024-06-28,NTC,192,140,128,120,4385
2024-07-01,NTC,161,146,127,148,3176
2024-07-02,NTC,155,203,152,202,4161
2024-07-03,NTC,125,133,128,123,10763
2024-07-04,NTC,165,152,130,202,2717
2024-07-05,NTC,145,194,135,198,6832
2024-07-08,NTC,149,189,125,200,9155
2024-07-09,NTC,158,122,159,167,1281
2024-07-10,NTC,156,161,137,180,2878
2024-07-11,NTC,107,162,150,159,1758
2024-07-12,NTC,105,190,128,178,2521
2024-07-15,NTC,139,176,133,191,5552
2024-07-16,NTC,142,137,122,109,10472
2024-07-17,NTC,127,126,118,118,2753
2024-07-18,NTC,165,201,146,194,4724
2024-07-19,NTC,182,113,94,152,6990
2024-07-22,NTC,168,134,179,174,3138
2024-07-23,NTC,183,124,160,141,2834
