date,symbol,open,high,low,close,volume
2024-03-26,PCBL,191,199,141,170,10730
2024-03-27,PCBL,154,175,170,167,5970
2024-03-28,PCBL,187,173,113,161,10393
2024-03-29,PCBL,141,135,152,160,4995
2024-04-01,PCBL,142,118,186,162,1274
2024-04-02,PCBL,183,196,121,179,8710
2024-04-03,PCBL,165,175,136,183,7488
2024-04-04,PCBL,151,124,125,175,1230
2024-04-05,PCBL,102,185,131,105,4570
2024-04-08,PCBL,189,146,119,119,2815
2024-04-09,PCBL,117,163,146,149,1667
2024-04-10,PCBL,182,201,189,146,5451
2024-04-11,PCBL,153,135,165,111,4011
2024-04-12,PCBL,118,137,142,142,6059
2024-04-15,PCBL,119,184,131,166,4410
2024-04-16,PCBL,144,183,127,150,8389
2024-04-17,PCBL,182,200,106,185,2971
2024-04-18,PCBL,130,161,165,156,4115
2024-04-19,PCBL,158,127,93,175,6308
2024-04-22,PCBL,126,132,114,191,4837
2024-04-23,PCBL,112,120,180,115,9119
2024-04-24,PCBL,134,177,152,119,8091
2024-04-25,PCBL,176,207,141,176,3017
2024-04-26,PCBL,149,166,179,130,1753
2024-04-29,PCBL,127,147,186,147,2686
2024-04-30,PCBL,127,143,142,126,1461
2024-05-01,PCBL,164,160,111,146,7396
2024-05-02,PCBL,177,188,137,112,6899
2024-05-03,PCBL,185,133,127,163,9876
2024-05-06,PCBL,132,178,189,112,8756
2024-05-07,PCBL,113,187,156,199,9554
2024-05-08,PCBL,119,176,103,191,9474
2024-05-09,PCBL,106,205,121,204,9270
2024-05-10,PCBL,118,117,158,126,3735
2024-05-13,PCBL,135,116,125,126,1660
2024-05-14,PCBL,130,177,155,166,1869
2024-05-15,PCBL,193,188,172,124,7346
2024-05-16,PCBL,189,115,188,133,3224
2024-05-17,PCBL,126,121,151,171,8464
2024-05-20,PCBL,199,155,165,184,1533
2024-05-21,PCBL,178,185,159,121,7664
2024-05-22,PCBL,190,148,152,169,4280
2024-05-23,PCBL,139,187,113,167,4535
2024-05-24,PCBL,106,161,120,113,9368
2024-05-27,PCBL,163,169,141,170,2734
2024-05-28,PCBL,105,149,171,146,5525
2024-05-29,PCBL,140,165,160,165,4455
2024-05-30,PCBL,125,177,104,138,9510
2024-05-31,PCBL,189,117,141,144,4794
2024-06-03,PCBL,198,195,109,186,3428
2024-06-04,PCBL,196,166,108,163,3873
2024-06-05,PCBL,157,128,143,135,9436
2024-06-06,PCBL,188,145,161,109,1030
2024-06-07,PCBL,177,186,178,121,2489
2024-06-10,PCBL,167,151,91,204,10668
2024-06-11,PCBL,132,145,114,187,7265
2024-06-12,PCBL,155,129,130,185,3179
2024-06-13,PCBL,113,203,109,134,4743
2024-06-14,PCBL,156,151,161,156,1031
2024-06-17,PCBL,155,184,121,147,7562
2024-06-18,PCBL,153,181,144,166,4425
2024-06-19,PCBL,165,115,185,169,1017
2024-06-20,PCBL,108,116,170,143,10115
2024-06-21,PCBL,173,162,171,162,2821
2024-06-24,PCBL,139,194,130,193,3544
2024-06-25,PCBL,110,173,155,127,7933
2024-06-26,PCBL,130,189,95,135,3351
2024-06-27,PCBL,162,199,156,127,8405
2024-06-28,PCBL,152,171,152,150,3111
2024-07-01,PCBL,133,199,111,133,2675
2024-07-02,PCBL,114,129,176,109,3785
2024-07-03,PCBL,186,208,186,114,8577
2024-07-04,PCBL,146,192,186,175,6117
2024-07-05,PCBL,163,207,101,117,1568
2024-07-08,PCBL,187,167,161,196,7251
2024-07-09,PCBL,173,204,98,195,3660
2024-07-10,PCBL,198,170,171,203,3261
2024-07-11,PCBL,159,134,149,138,4906
2024-07-12,PCBL,184,174,177,144,6289
2024-07-15,PCBL,102,128,183,105,3742
2024-07-16,PCBL,161,181,92,135,8091
2024-07-17,PCBL,150,200,96,145,4879
2024-07-18,PCBL,172,180,99,151,10960
2024-07-19,PCBL,182,164,176,136,8843
2024-07-22,PCBL,161,171,116,149,7727
2024-07-23,PCBL,183,209,132,119,1784
2024-07-24,PCBL,118,154,139,180,4737
2024-07-25,PCBL,104,192,96,186,10590
2024-07-26,PCBL,183,188,133,155,4962
2024-07-29,PCBL,132,196,112,132,8527
2024-07-30,PCBL,172,178,101,203,6137
2024-07-31,PCBL,173,169,93,147,5992
2024-08-01,PCBL,137,188,138,186,9141
2024-08-02,PCBL,142,200,116,131,2227
2024-08-05,PCBL,184,202,174,142,3987
2024-08-06,PCBL,198,137,122,191,3826
2024-08-07,PCBL,129,113,150,118,10981
2024-08-08,PCBL,117,127,151,201,10719
2024-08-09,PCBL,125,197,98,171,3549
2024-08-12,PCBL,106,161,140,151,6872
2024-08-13,PCBL,130,168,139,123,4646
2024-08-14,PCBL,179,119,149,123,9237
2024-08-15,PCBL,150,110,119,195,7097
2024-08-16,PCBL,172,207,171,197,8646
2024-08-19,PCBL,114,128,126,199,4910
2024-08-20,PCBL,135,116,144,185,7180
2024-08-21,PCBL,147,123,187,162,5029
2024-08-22,PCBL,128,195,126,136,10961
2024-08-23,PCBL,123,145,108,131,7820
2024-08-26,PCBL,199,157,100,179,4663
2024-08-27,PCBL,121,204,176,193,5368
2024-08-28,PCBL,108,172,181,186,5001
2024-08-29,PCBL,127,137,126,186,2828
2024-08-30,PCBL,125,201,112,110,3407
2024-09-02,PCBL,194,165,137,146,4201
2024-09-03,PCBL,150,187,181,172,4063
2024-09-04,PCBL,135,206,101,192,4975
2024-09-05,PCBL,116,110,187,163,8268
2024-09-06,PCBL,153,118,186,184,2603
2024-09-09,PCBL,195,201,101,163,5017
2024-09-10,PCBL,133,180,120,124,1466
2024-09-11,PCBL,128,124,128,123,2544
2024-09-12,PCBL,178,165,137,108,4351
2024-09-13,PCBL,118,176,122,148,10322
2024-09-16,PCBL,118,196,151,145,2280
2024-09-17,PCBL,146,204,95,196,9287
2024-09-18,PCBL,185,158,105,165,3437
2024-09-19,PCBL,138,184,177,136,5966
2024-09-20,PCBL,188,150,128,172,3730
2024-09-23,PCBL,108,175,173,199,4144
2024-09-24,PCBL,179,165,127,183,2848
2024-09-25,PCBL,199,187,92,193,6391
2024-09-26,PCBL,161,191,164,106,7974
2024-09-27,PCBL,181,162,109,188,9752
2024-09-30,PCBL,194,140,142,163,7511
2024-10-01,PCBL,109,160,159,172,8580
2024-10-02,PCBL,199,169,157,173,7832
2024-10-03,PCBL,195,166,181,183,5653
2024-10-04,PCBL,174,121,164,112,8203
2024-10-07,PCBL,161,150,110,107,10142
2024-10-08,PCBL,176,190,181,133,9127
2024-10-09,PCBL,187,124,179,192,4106
2024-10-10,PCBL,134,187,132,149,3800
2024-10-11,PCBL,191,201,123,137,10712
2024-10-14,PCBL,100,171,166,116,7004
2024-10-15,PCBL,180,195,134,174,7099
2024-10-16,PCBL,127,130,109,179,4420
2024-10-17,PCBL,138,149,95,149,2302
2024-10-18,PCBL,172,147,153,130,4239
2024-10-21,PCBL,182,195,145,117,8057
2024-10-22,PCBL,100,118,178,187,9481
2024-10-23,PCBL,185,111,161,153,3906
2024-10-24,PCBL,115,191,97,204,8530
2024-10-25,PCBL,180,124,90,169,3488
2024-10-28,PCBL,160,156,137,111,7548
2024-10-29,PCBL,132,149,165,105,5369
2024-10-30,PCBL,122,175,128,162,2462
2024-10-31,PCBL,112,133,103,166,2550
2024-11-01,PCBL,198,174,91,170,3661
2024-11-04,PCBL,196,188,94,106,9389
2024-11-05,PCBL,113,114,171,156,4083
2024-11-06,PCBL,174,148,167,108,1377
2024-11-07,PCBL,160,113,172,194,1000
2024-11-08,PCBL,155,193,173,108,5524
2024-11-11,PCBL,109,181,153,172,7232
2024-11-12,PCBL,140,204,136,136,8412
2024-11-13,PCBL,183,198,123,202,4632
2024-11-14,PCBL,158,168,126,188,6981
2024-11-15,PCBL,119,208,112,180,7607
2024-11-18,PCBL,129,140,95,168,6450
2024-11-19,PCBL,139,185,186,142,9955
2024-11-20,PCBL,112,186,187,180,6850
2024-11-21,PCBL,141,154,173,160,2276
2024-11-22,PCBL,138,163,148,125,4759
2024-11-25,PCBL,197,132,143,146,3283
2024-11-26,PCBL,136,140,94,114,9343
2024-11-27,PCBL,121,153,181,116,1699
2024-11-28,PCBL,115,191,141,190,3032
2024-11-29,PCBL,145,155,156,182,5523
2024-12-02,PCBL,124,142,128,177,5377
2024-12-03,PCBL,144,125,129,145,8486
2024-12-04,PCBL,193,173,186,166,1849
2024-12-05,PCBL,179,184,162,157,4893
2024-12-06,PCBL,139,124,145,151,4182
2024-12-09,PCBL,137,185,105,124,7204
2024-12-10,PCBL,180,167,135,138,7164
2024-12-11,PCBL,173,146,141,119,3703
2024-12-12,PCBL,108,165,161,133,1514
2024-12-13,PCBL,149,169,107,156,5487
2024-12-16,PCBL,120,188,142,185,10989
2024-12-17,PCBL,192,127,165,116,5256
2024-12-18,PCBL,119,111,143,151,7744
2024-12-19,PCBL,100,166,177,160,7891
2024-12-20,PCBL,137,171,161,202,10421
2024-12-23,PCBL,151,131,166,106,8877
2024-12-24,PCBL,135,161,114,130,10797
2024-12-25,PCBL,130,144,113,123,1565
2024-12-26,PCBL,139,208,186,180,8084
2024-12-27,PCBL,139,124,183,137,8035
2024-12-30,PCBL,147,118,91,138,1931
2024-12-31,PCBL,186,176,165,157,5539
2025-01-01,PCBL,159,127,93,186,8287
2025-01-02,PCBL,108,182,94,146,2856
2025-01-03,PCBL,170,208,146,147,2743
2025-01-06,PCBL,113,161,131,195,1156
2025-01-07,PCBL,190,161,108,142,8817
2025-01-08,PCBL,121,171,131,153,2930
2025-01-09,PCBL,166,130,170,169,5265
2025-01-10,PCBL,140,114,103,173,1914
2025-01-13,PCBL,177,174,119,197,9852
2025-01-14,PCBL,184,123,106,153,6031
2025-01-15,PCBL,150,162,182,145,9021
2025-01-16,PCBL,126,200,96,195,8131
2025-01-17,PCBL,130,117,184,154,6407
2025-01-20,PCBL,167,144,131,141,5080
2025-01-21,PCBL,153,141,131,118,10731
2025-01-22,PCBL,116,167,115,156,8208
2025-01-23,PCBL,139,144,174,111,6615
2025-01-24,PCBL,183,198,144,130,4932
2025-01-27,PCBL,102,178,179,148,1044
2025-01-28,PCBL,143,168,125,155,7396
2025-01-29,PCBL,136,205,132,131,9728
2025-01-30,PCBL,103,162,172,179,3206
2025-01-31,PCBL,182,166,100,109,2058
2025-02-03,PCBL,108,168,155,160,9502
2025-02-04,PCBL,178,202,109,113,5047
2025-02-05,PCBL,129,119,168,182,9205
2025-02-06,PCBL,183,191,187,135,3729
2025-02-07,PCBL,110,158,165,121,8993
2025-02-10,PCBL,117,186,131,203,2820
2025-02-11,PCBL,142,130,112,126,5987
2025-02-12,PCBL,137,129,131,202,9031
2025-02-13,PCBL,140,124,157,114,6064
2025-02-14,PCBL,198,148,166,112,6838
2025-02-17,PCBL,145,160,98,188,4150
2025-02-18,PCBL,188,160,147,190,4231
2025-02-19,PCBL,146,117,126,147,7102
2025-02-20,PCBL,115,157,120,169,10841
2025-02-21,PCBL,146,124,117,119,6301
2025-02-24,PCBL,138,187,168,126,8683
2025-02-25,PCBL,118,187,124,182,9088
2025-02-26,PCBL,134,195,175,150,8072
2025-02-27,PCBL,102,151,144,152,5655
2025-02-28,PCBL,111,126,117,149,2896
2025-03-03,PCBL,114,200,142,169,9923
2025-03-04,PCBL,127,114,143,132,8928
2025-03-05,PCBL,181,147,106,204,6522
2025-03-06,PCBL,155,115,104,106,7553
2025-03-07,PCBL,178,140,118,140,5620
2025-03-10,PCBL,127,155,148,151,4951
2025-03-11,PCBL,183,144,103,202,4466
2025-03-12,PCBL,118,148,172,156,8158
2025-03-13,PCBL,145,174,106,108,4891
2025-03-14,PCBL,142,189,160,138,4448
2025-03-17,PCBL,148,135,105,119,1285
2025-03-18,PCBL,134,144,138,118,7309
2025-03-19,PCBL,199,155,144,151,8851
2025-03-20,PCBL,158,178,153,178,6073
2025-03-21,PCBL,182,135,130,198,4351
2025-03-24,PCBL,152,152,111,194,8330
2025-03-25,PCBL,193,207,147,200,8048
2025-03-26,PCBL,170,172,102,181,5793
