date,symbol,open,high,low,close,volume
2024-03-26,PRVU,158,117,168,135,10772
2024-03-27,PRVU,182,177,174,182,10913
2024-03-28,PRVU,176,204,117,107,10705
2024-03-29,PRVU,176,126,114,119,3969
2024-04-01,PRVU,124,164,167,168,5933
2024-04-02,PRVU,166,120,159,202,10783
2024-04-03,PRVU,188,134,129,134,5818
2024-04-04,PRVU,191,113,173,177,8978
2024-04-05,PRVU,174,143,106,119,10261
2024-04-08,PRVU,196,207,111,161,4891
2024-04-09,PRVU,151,115,167,198,10630
2024-04-10,PRVU,166,194,112,108,1582
2024-04-11,PRVU,155,159,115,112,9310
2024-04-12,PRVU,124,168,159,131,10067
2024-04-15,PRVU,175,186,135,106,10892
2024-04-16,PRVU,142,157,157,108,10935
2024-04-17,PRVU,157,161,123,107,6733
2024-04-18,PRVU,150,157,121,191,4727
2024-04-19,PRVU,129,135,114,196,3934
2024-04-22,PRVU,103,183,133,108,2883
2024-04-23,PRVU,170,168,143,128,4791
2024-04-24,PRVU,100,183,174,167,6612
2024-04-25,PRVU,157,126,174,112,3994
2024-04-26,PRVU,194,165,177,161,5287
2024-04-29,PRVU,140,152,183,128,10915
2024-04-30,PRVU,181,208,178,194,6978
2024-05-01,PRVU,141,135,144,193,6253
2024-05-02,PRVU,149,137,133,135,2731
2024-05-03,PRVU,101,141,158,171,2585
2024-05-06,PRVU,138,195,152,110,2948
2024-05-07,PRVU,155,158,165,168,8168
2024-05-08,PRVU,169,202,136,204,4710
2024-05-09,PRVU,117,145,180,163,7739
2024-05-10,PRVU,153,139,102,130,10364
2024-05-13,PRVU,131,190,180,130,7599
2024-05-14,PRVU,149,180,119,112,6862
2024-05-15,PRVU,106,129,138,179,1863
2024-05-16,PRVU,152,173,97,170,6811
2024-05-17,PRVU,107,119,164,190,8280
2024-05-20,PRVU,132,145,97,190,5946
2024-05-21,PRVU,114,205,184,196,8062
2024-05-22,PRVU,161,186,105,198,3353
2024-05-23,PRVU,120,174,142,158,10411
2024-05-24,PRVU,134,179,129,127,6449
2024-05-27,PRVU,131,115,168,173,8229
2024-05-28,PRVU,192,127,146,150,9885
2024-05-29,PRVU,188,146,139,153,3133
2024-05-30,PRVU,112,127,97,158,4481
2024-05-31,PRVU,166,203,150,189,3455
2024-06-03,PRVU,104,186,121,117,8677
2024-06-04,PRVU,108,149,151,121,8816
2024-06-05,PRVU,193,203,181,151,8324
2024-06-06,PRVU,155,117,117,203,4140
2024-06-07,PRVU,154,167,177,196,6529
2024-06-10,PRVU,175,144,167,175,2594
2024-06-11,PRVU,154,148,189,116,8464
2024-06-12,PRVU,157,119,162,137,10532
2024-06-13,PRVU,197,187,97,120,2186
2024-06-14,PRVU,123,142,157,172,4196
2024-06-17,PRVU,109,206,147,152,1606
2024-06-18,PRVU,189,168,98,202,5786
2024-06-19,PRVU,169,156,104,134,7426
2024-06-20,PRVU,126,125,144,154,8204
2024-06-21,PRVU,126,143,185,199,10821
2024-06-24,PRVU,199,186,157,188,10870
2024-06-25,PRVU,126,191,94,190,3651
2024-06-26,PRVU,196,118,90,146,7939
2024-06-27,PRVU,128,143,147,147,5254
2024-06-28,PRVU,160,156,114,126,4652
2024-07-01,PRVU,158,185,123,164,3056
2024-07-02,PRVU,140,160,135,116,2939
2024-07-03,PRVU,122,114,116,159,4969
2024-07-04,PRVU,199,156,91,124,8986
2024-07-05,PRVU,167,136,126,134,8289
2024-07-08,PRVU,141,202,100,130,10131
2024-07-09,PRVU,149,142,94,161,7823
2024-07-10,PRVU,136,175,142,127,3350
2024-07-11,PRVU,181,167,144,120,5793
2024-07-12,PRVU,183,135,170,197,7852
2024-07-15,PRVU,116,198,125,160,5924
2024-07-16,PRVU,109,149,120,122,2462
2024-07-17,PRVU,141,198,123,155,6532
2024-07-18,PRVU,128,185,147,188,1406
2024-07-19,PRVU,194,132,105,189,6644
2024-07-22,PRVU,199,188,110,154,8717
2024-07-23,PRVU,162,169,131,196,7187
2024-07-24,PRVU,128,151,93,118,2407
2024-07-25,PRVU,191,155,121,107,5653
2024-07-26,PRVU,164,115,117,146,9969
2024-07-29,PRVU,169,196,94,181,4513
2024-07-30,PRVU,161,122,96,113,9859
2024-07-31,PRVU,120,138,105,167,4684
2024-08-01,PRVU,119,176,116,126,1793
2024-08-02,PRVU,138,193,92,154,3927
2024-08-05,PRVU,119,141,138,189,7924
2024-08-06,PRVU,191,161,104,126,3537
2024-08-07,PRVU,100,184,182,136,7612
2024-08-08,PRVU,122,154,175,202,6386
2024-08-09,PRVU,132,141,124,171,2151
2024-08-12,PRVU,104,165,122,130,6962
2024-08-13,PRVU,167,196,125,188,9326
2024-08-14,PRVU,186,142,133,204,1675
2024-08-15,PRVU,102,193,131,112,2078
2024-08-16,PRVU,178,151,174,156,2174
2024-08-19,PRVU,128,168,97,145,2498
2024-08-20,PRVU,177,155,126,136,7197
2024-08-21,PRVU,165,162,165,190,10145
2024-08-22,PRVU,115,137,168,187,9106
2024-08-23,PRVU,195,125,161,162,2696
2024-08-26,PRVU,171,179,165,181,9885
2024-08-27,PRVU,141,148,154,118,3927
2024-08-28,PRVU,138,129,183,115,10784
2024-08-29,PRVU,136,179,103,158,7056
2024-08-30,PRVU,191,169,171,204,7533
2024-09-02,PRVU,166,128,183,191,8181
2024-09-03,PRVU,110,147,111,143,10434
2024-09-04,PRVU,145,174,138,199,3892
2024-09-05,PRVU,133,125,105,143,9206
2024-09-06,PRVU,184,176,90,142,10102
2024-09-09,PRVU,165,187,183,158,5642
2024-09-10,PRVU,191,146,119,185,8933
2024-09-11,PRVU,199,113,136,132,6990
2024-09-12,PRVU,140,180,149,137,3655
2024-09-13,PRVU,178,170,145,173,7706
2024-09-16,PRVU,190,149,135,165,6578
2024-09-17,PRVU,193,152,180,185,5226
2024-09-18,PRVU,199,172,183,183,10546
2024-09-19,PRVU,148,113,140,141,9358
2024-09-20,PRVU,105,115,146,201,1113
2024-09-23,PRVU,153,205,158,105,2678
2024-09-24,PRVU,161,200,138,193,10280
2024-09-25,PRVU,151,193,140,110,1598
2024-09-26,PRVU,116,145,123,154,8336
2024-09-27,PRVU,132,205,119,187,4865
2024-09-30,PRVU,152,118,157,198,9616
2024-10-01,PRVU,163,195,152,110,10834
