date,symbol,open,high,low,close,volume
2024-03-26,SCB,198,140,95,116,4604
2024-03-27,SCB,166,166,104,145,1108
2024-03-28,SCB,105,123,180,196,4915
2024-03-29,SCB,198,121,105,201,8400
2024-04-01,SCB,146,123,92,191,5144
2024-04-02,SCB,106,127,100,175,9102
2024-04-03,SCB,180,188,120,169,7180
2024-04-04,SCB,135,113,93,129,3496
2024-04-05,SCB,140,152,99,144,3490
2024-04-08,SCB,190,166,159,125,3632
2024-04-09,SCB,198,111,97,122,3716
2024-04-10,SCB,101,119,165,192,3486
2024-04-11,SCB,162,135,148,139,9229
2024-04-12,SCB,134,183,183,144,4714
2024-04-15,SCB,105,200,151,165,10846
2024-04-16,SCB,151,131,163,122,5275
2024-04-17,SCB,148,198,184,134,2386
2024-04-18,SCB,115,126,161,120,4898
2024-04-19,SCB,115,129,93,147,5028
2024-04-22,SCB,125,164,155,105,9978
2024-04-23,SCB,141,151,162,146,2051
2024-04-24,SCB,168,161,92,186,9288
2024-04-25,SCB,118,132,189,176,8088
2024-04-26,SCB,119,161,184,154,4905
2024-04-29,SCB,108,124,159,151,10128
2024-04-30,SCB,124,155,137,140,9864
2024-05-01,SCB,195,189,146,178,1561
2024-05-02,SCB,148,203,91,177,9591
2024-05-03,SCB,120,170,144,178,10057
2024-05-06,SCB,195,120,167,192,7488
2024-05-07,SCB,109,158,173,141,3827
2024-05-08,SCB,129,189,124,167,8676
2024-05-09,SCB,104,125,125,123,7411
2024-05-10,SCB,141,208,134,163,1057
2024-05-13,SCB,137,147,102,133,8426
2024-05-14,SCB,148,113,186,197,1638
2024-05-15,SCB,111,187,182,113,7573
2024-05-16,SCB,186,146,165,176,5575
2024-05-17,SCB,170,160,156,172,7614
2024-05-20,SCB,136,145,104,124,2494
2024-05-21,SCB,190,194,100,202,1094
2024-05-22,SCB,177,144,111,105,4249
2024-05-23,SCB,194,120,91,113,4839
2024-05-24,SCB,167,150,145,153,5307
2024-05-27,SCB,122,184,184,134,2874
2024-05-28,SCB,122,115,152,148,9467
2024-05-29,SCB,176,138,161,123,4504
2024-05-30,SCB,138,166,122,181,9004
2024-05-31,SCB,131,140,146,180,10040
2024-06-03,SCB,122,164,158,162,6729
2024-06-04,SCB,146,131,180,169,10033
2024-06-05,SCB,115,115,118,175,8210
2024-06-06,SCB,187,194,126,123,8667
2024-06-07,SCB,161,174,167,122,8489
2024-06-10,SCB,179,122,161,155,2835
2024-06-11,SCB,176,113,189,145,6624
2024-06-12,SCB,139,204,157,150,5105
2024-06-13,SCB,146,194,178,141,3084
2024-06-14,SCB,170,207,182,178,4018
2024-06-17,SCB,100,117,149,191,3630
2024-06-18,SCB,123,181,100,187,4098
2024-06-19,SCB,100,158,92,167,9759
2024-06-20,SCB,182,129,108,201,8846
2024-06-21,SCB,129,156,112,109,6113
2024-06-24,SCB,186,124,97,157,1137
2024-06-25,SCB,160,142,110,204,7548
2024-06-26,SCB,138,127,117,155,3928
2024-06-27,SCB,148,182,91,134,3898
2024-06-28,SCB,113,167,93,119,2998
2024-07-01,SCB,126,148,102,159,6777
2024-07-02,SCB,159,168,117,112,10093
2024-07-03,SCB,173,127,120,146,1982
2024-07-04,SCB,133,176,96,204,2695
2024-07-05,SCB,111,139,147,196,6082
2024-07-08,SCB,168,116,103,109,1799
2024-07-09,SCB,182,129,164,185,1416
2024-07-10,SCB,142,173,165,182,4315
2024-07-11,SCB,185,111,124,195,4118
2024-07-12,SCB,115,137,128,117,6583
2024-07-15,SCB,191,151,165,162,3945
2024-07-16,SCB,100,119,160,127,6717
2024-07-17,SCB,114,155,150,108,10476
2024-07-18,SCB,107,177,140,109,8366
2024-07-19,SCB,113,209,111,170,2983
2024-07-22,SCB,118,194,181,147,10192
2024-07-23,SCB,148,189,130,145,9040
2024-07-24,SCB,168,125,163,135,3703
2024-07-25,SCB,145,173,135,107,2332
2024-07-26,SCB,181,169,154,151,6805
2024-07-29,SCB,163,186,132,118,10149
2024-07-30,SCB,196,168,130,181,2525
2024-07-31,SCB,183,142,170,109,8578
2024-08-01,SCB,179,205,128,193,1179
2024-08-02,SCB,146,196,118,126,1154
2024-08-05,SCB,107,140,176,194,6793
2024-08-06,SCB,184,172,113,170,3160
2024-08-07,SCB,177,144,163,194,8326
2024-08-08,SCB,177,151,177,127,1558
2024-08-09,SCB,158,182,111,146,2994
2024-08-12,SCB,164,156,172,177,4818
2024-08-13,SCB,162,149,133,110,1504
2024-08-14,SCB,147,140,182,113,10259
2024-08-15,SCB,112,144,130,107,9316
2024-08-16,SCB,121,162,101,158,9230
2024-08-19,SCB,164,124,178,132,3695
2024-08-20,SCB,128,178,123,123,8071
2024-08-21,SCB,126,170,123,166,8643
2024-08-22,SCB,188,116,153,178,7906
2024-08-23,SCB,135,140,157,179,5528
2024-08-26,SCB,124,142,135,161,1783
2024-08-27,SCB,155,122,187,195,4176
2024-08-28,SCB,132,205,140,149,2684
2024-08-29,SCB,184,142,154,195,4303
2024-08-30,SCB,138,140,153,154,5451
2024-09-02,SCB,105,203,169,156,2840
2024-09-03,SCB,149,154,163,131,7500
2024-09-04,SCB,107,194,92,130,10121
2024-09-05,SCB,147,154,189,184,4473
2024-09-06,SCB,137,173,181,195,2110
2024-09-09,SCB,168,122,162,148,2774
2024-09-10,SCB,181,114,99,149,6460
2024-09-11,SCB,155,151,137,145,2436
2024-09-12,SCB,133,201,137,157,3960
2024-09-13,SCB,121,136,156,122,8637
2024-09-16,SCB,181,132,102,134,9557
2024-09-17,SCB,195,130,122,120,10230
2024-09-18,SCB,119,169,127,203,9455
2024-09-19,SCB,177,143,120,142,9281
2024-09-20,SCB,171,149,185,163,9280
2024-09-23,SCB,131,180,110,200,10314
2024-09-24,SCB,119,178,150,110,6390
2024-09-25,SCB,118,199,100,153,7168
2024-09-26,SCB,128,122,165,173,2819
2024-09-27,SCB,127,114,153,204,10321
2024-09-30,SCB,127,194,91,172,6700
2024-10-01,SCB,130,129,149,204,1212
2024-10-02,SCB,101,138,155,122,10681
2024-10-03,SCB,129,190,100,178,2180
2024-10-04,SCB,171,154,138,198,5233
2024-10-07,SCB,145,123,174,162,6413
2024-10-08,SCB,107,201,96,135,7900
2024-10-09,SCB,136,128,134,119,9746
2024-10-10,SCB,119,138,172,189,9376
2024-10-11,SCB,169,187,175,159,4739
2024-10-14,SCB,195,161,170,113,6234
2024-10-15,SCB,172,156,106,197,9913
